..\game.c:21: ---==== BEGIN ====---
..\gf2d_graphics.c:132: graphics initialized
..\gf2d_sprite.c:45: sprite system initialized
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 55.555557 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 58.823528 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
..\game.c:65: Rendering at 62.500000 FPS
